date,open,high,low,close,volume,value
2020-07-27,21.2,21.4,19.3,19.9,54359469.67881381,1109066553.3827834
2020-07-28,19.8,21.2,19.6,21.1,34256325.48502083,694963197.964337
2020-07-29,21.0,21.6,20.8,20.9,58035482.55095929,1228095922.894081
2020-07-30,20.9,23.6,20.6,21.5,116816834.63235942,2601834282.0897784
2020-07-31,21.4,22.4,21.0,21.4,46106733.75402078,1003799504.9025916
2020-08-01,21.3,22.1,21.1,22.0,17053421.99528342,369789841.76531047
2020-08-02,22.1,22.3,18.1,20.9,44455826.1728288,915975722.7878073
2020-08-03,20.9,21.7,20.6,20.7,12154677.25198762,257792276.0788294
2020-08-04,20.8,22.0,20.8,21.9,21446236.45149148,457385217.07147694
2020-08-05,21.9,23.3,21.6,23.1,31932617.3166831,716448002.6533756
2020-08-06,23.1,24.8,22.9,23.8,37698086.53610116,900035351.048784
2020-08-07,23.8,27.0,23.6,25.9,69931047.7645163,1784327674.9075816
2020-08-08,26.0,31.6,25.3,30.8,173229910.20066452,5117401127.91013
2020-08-09,31.0,31.0,27.7,29.7,89936453.4152515,2625563279.933041
2020-08-10,29.8,30.4,27.3,29.5,76160967.49171317,2184967961.4961243
2020-08-11,29.3,33.5,28.3,31.1,114326406.56172483,3548165204.0390716
2020-08-12,31.2,31.8,28.0,30.3,48605887.90746454,1451325807.7609527
2020-08-13,30.3,32.4,28.8,29.8,66521547.81173851,2043418373.6227658
2020-08-14,29.8,31.3,29.0,29.4,58535341.09452012,1755161361.9091897
2020-08-15,29.4,29.9,27.7,29.1,30452691.78550731,886252337.3154645
2020-08-16,29.0,32.0,28.8,30.8,33246565.04683258,1007057199.3376415
2020-08-17,30.7,31.5,28.7,29.2,49318918.66563962,1474582100.0094795
2020-08-18,29.2,29.9,26.5,27.3,40221435.40516765,1133824086.3615005
2020-08-19,27.2,28.2,24.8,25.8,61253610.9677434,1632461743.7494395
2020-08-20,26.0,27.3,25.5,26.8,22475396.14838665,596462355.143198
2020-08-21,26.8,29.2,25.1,25.3,59895724.13911656,1624811830.1465409
2020-08-22,25.3,26.2,23.7,26.0,33798857.53423094,841659844.4335567
2020-08-23,26.1,26.3,24.7,25.3,12609631.54846389,321978421.801965
2020-08-24,25.4,28.6,25.0,28.0,29051976.9932496,781277288.3370205
2020-08-25,28.0,29.2,24.6,25.4,40832673.25808546,1078852871.1566427
2020-08-26,25.4,26.6,24.7,26.5,19353605.07686083,494051471.3907361
2020-08-27,26.6,26.6,23.0,24.0,27736797.7567993,681536574.5499007
2020-08-28,24.1,24.9,23.6,24.7,19725529.89413657,477280268.3212762
2020-08-29,24.7,25.1,24.0,24.6,20257438.69116005,496892127.4260382
2020-08-30,24.6,27.3,24.4,27.2,45652000.04496783,1184911795.1268444
2020-08-31,27.2,28.5,26.4,26.6,91249299.7047645,2509259304.647254
2020-09-01,26.4,27.2,25.5,25.6,60244641.89500896,1586212562.3156848
2020-09-02,25.7,26.5,22.4,24.3,74162456.6125826,1815278178.3682609
2020-09-03,24.2,24.5,18.6,19.2,81860761.29286937,1773729186.2365587
2020-09-04,19.2,20.8,18.3,20.1,73406635.29024103,1444378756.1271245
2020-09-05,20.1,20.7,16.6,18.2,69221065.12733433,1289206801.3782444
2020-09-06,18.1,19.1,16.8,18.4,30505659.40746556,550158499.3350878
2020-09-07,18.5,19.0,16.8,18.3,24595269.83027572,438085007.09905225
2020-09-08,18.3,20.1,17.4,18.7,38002211.24613562,704168857.3895192
2020-09-09,18.7,20.2,18.3,19.7,19098591.94160434,370039754.191444
2020-09-10,19.5,21.2,19.5,20.6,21925687.99049001,447443552.6831403
